Candidato,Setorial,Estado,Situação,Votos
PAULO RENATO VITORIA (Paulo Renato Vitoria) ,Culturas Afro-Brasileiras ,GO ,Habilitado ,2
PAULO RICARDO DA SILVEIRA SILVA (Paulo Ricardo da Silveira Silva) ,Culturas Afro-Brasileiras ,RS ,Eleito ,156
PEDRO PAULO DA CUNHA CARVALHO (PEDRO PAULO DA CUNHA CARVALHO) ,Culturas Afro-Brasileiras ,AP ,Habilitado ,4
RAD ASSIS BRASIL UGARTE (Eduardo Brasil ) ,Culturas Afro-Brasileiras ,SP ,Habilitado ,16
RAIMUNDO PAULO MONTEIRO CORDEIRO (PAULO CORDEIRO) ,Culturas Afro-Brasileiras ,PA ,Habilitado ,147
REGINALDO SILVA GOMES (REGINALDO SILVA GOMES) ,Culturas Afro-Brasileiras ,MT ,Eleito ,15
RENATO SILVA GOMES (Renato Silva Gomes) ,Culturas Afro-Brasileiras ,DF ,Eleito ,230
RICHARD SILVA GOMES (RICHARD SILVA GOMES) ,Culturas Afro-Brasileiras ,RS ,Habilitado ,5
ROBERTO DE PAULA LINS FILHO (Roberto de paula lins filho) ,Culturas Afro-Brasileiras ,RJ ,Habilitado ,21
RODRIGO APARECIDO PETINATI (Rodrigo Aparecido Petinati) ,Culturas Afro-Brasileiras ,AL ,Eleito ,27
ROGER APARECIDO FERREIRA (Roger Cipó) ,Culturas Afro-Brasileiras ,SP ,Eleito ,70
RONILDO FERREIRA DOS SANTOS (RONILDO FERREIRA) ,Culturas Afro-Brasileiras ,AP ,Eleito ,237
ROSANGELA COSTA ARAUJO (Rosângela Costa Raujo) ,Culturas Afro-Brasileiras ,BA ,Habilitado ,64
RUSEVELT SILVA SANTOS (Rusevelt Silva Santos) ,Culturas Afro-Brasileiras ,PA ,Eleito ,173
SATIRA PEREIRA MACHADO (Sátira Pereira Machado) ,Culturas Afro-Brasileiras ,RS ,Habilitado ,55
SERGIO SOREANO BARRETO (SERGIO SOREANO ) ,Culturas Afro-Brasileiras ,SE ,Eleito ,36
SIDNEY FERREIRA DA SILVA (Sidney Ferreira da Silva) ,Culturas Afro-Brasileiras ,MG ,Habilitado ,2
SILVANY EUCLENIO SILVA (SILVANY EUCLENIO) ,Culturas Afro-Brasileiras ,SP ,Eleito ,83
SILVIA CRISTINA PINHEIRO PEREIRA (Silvia Pinheiro) ,Culturas Afro-Brasileiras ,MA ,Habilitado ,28
SILVIO DA SILVA MORAIS (OJÚ OBÁ - SÍLVIO MORAIS) ,Culturas Afro-Brasileiras ,DF ,Habilitado ,25
TATIANE PEREIRA DE SOUZA (Tatiane Souza) ,Culturas Afro-Brasileiras ,SP ,Habilitado ,14
THOMPSON MESSIAS DE ARAUJO SANTOS (THOMPSON MESSIAS DE ARAUJO SANTOS) ,Culturas Afro-Brasileiras ,MT ,Habilitado ,3
VALERIA EURIPEDES SOUSA SANTOS (Valéria da Congada) ,Culturas Afro-Brasileiras ,GO ,Eleito ,30
VANDA LUCIA DOS SANTOS SOARES (Mãe Vanda) ,Culturas Afro-Brasileiras ,PA ,Eleito ,23
VILDE DORIAN DA SILVA CASTRO (Vilde Dorian da Silva Castro) ,Culturas Afro-Brasileiras ,RJ ,Habilitado ,2
WAGNER PEREIRA DA SILVA (Babalorixá Wagner de Oxum) ,Culturas Afro-Brasileiras ,CE ,Habilitado ,60
WALDENILTON FERREIRA MOTA (DANILO MOURA) ,Culturas Afro-Brasileiras ,BA ,Habilitado ,115
WALLACE DA CONCEICAO (Wallace da Conceição) ,Culturas Afro-Brasileiras ,ES ,Habilitado ,1
WALTER HUGO DIAZ PINAYA (Walter Pinaya / Walter t' Sàngó Agandjú) ,Culturas Afro-Brasileiras ,RS ,Eleito ,74
WICSON NUNES DE JESUS (Wicson Juventude de Terreiro ) ,Culturas Afro-Brasileiras ,BA ,Habilitado ,71
WILSON RICARDO FERNANDES DE OLIVEIRA (Ricardo de Laalu) ,Culturas Afro-Brasileiras ,SP ,Habilitado ,16
WILTON CORDEIRO DE SOUZA (Wilton Cordeiro de Souza) ,Culturas Afro-Brasileiras ,AL ,Eleito ,18
ACYR OSMAR DE OLIVEIRA (Acyr Osmar de Oliveira) ,Culturas Populares ,SC ,Eleito ,142
AFONSO FERNANDO ALVES DE OLIVEIRA (AFONSO FERNANDO ALVES DE OLIVEIRA) ,Culturas Populares ,PE ,Habilitado ,145
AFONSO MIGUEL AGUIAR (AFONSO MIGUEL AGUIAR) ,Culturas Populares ,PI ,Habilitado ,16
AILA CAROLINE PALHETA CORREA (Aila Caroline palheta correa) ,Culturas Populares ,AP ,Habilitado ,12
ALEX GOMES GONTIJO (Alex Gomes Gontijo) ,Culturas Populares ,GO ,Habilitado ,54
ALEXANDRE TESTA ACAMPORA (Alexandre Acampora) ,Culturas Populares ,TO ,Eleito ,1
ALEXSANDRO ROCHA DE AZEVEDO (Alexsando Rocha de Azevedo) ,Culturas Populares ,RJ ,Habilitado ,3
ANA LUCIA PEREIRA PICANCO (Ana Lucia Pereira Picanço) ,Culturas Populares ,MT ,Habilitado ,9
ANA MARIA AVIZ DO ROSARIO (Dona Ana do Rosário) ,Culturas Populares ,PA ,Eleito ,37
ANDERSON ROBERTO DA SILVA (Wuãnder Eletro tintas) ,Culturas Populares ,SP ,Habilitado ,1
ANTONIO AMADOR DE OLIVEIRA (antonio amador de oliveira) ,Culturas Populares ,AM ,Habilitado ,7
ANTONIO MARCOS GOMES DA SILVA (MARCOS GOMES) ,Culturas Populares ,CE ,Habilitado ,17
AORELIO DOMINGUES DE BORBA (Aorelio Domingues) ,Culturas Populares ,PR ,Eleito ,52
APARECIDA TEIXEIRA DE FATIMA PARAGUASSU (Aparecida Teixeira de Fatima Paraguassu) ,Culturas Populares ,GO ,Eleito ,130
ARISTANAN PINTO NERY DA SILVA (ARISTANAN PINTO NERY DA SILVA) ,Culturas Populares ,BA ,Eleito ,128
ARTUR MARTINS GARCEZ (Artur Martins Garcez) ,Culturas Populares ,RN ,Habilitado ,50
AURIMAR FIDELIS DE ARAGAO (Aurimar Fideles de Aragão) ,Culturas Populares ,AC ,Habilitado ,37
AVINNER AUGUSTO DA SILVA ALBINO (Avinner Augusto da Silva Albino) ,Culturas Populares ,MT ,Eleito ,36
CAMILA FERNANDA DE SOUZA (Camila Fernanda de Souza) ,Culturas Populares ,SP ,Eleito ,75
CARLA BATISTA DE PAULA (Carla Conorí) ,Culturas Populares ,AM ,Eleito ,161
CELESTE AIDA AMORIM MARQUES GONTIJO (Celeste Aida Amorim Marques Gontijo) ,Culturas Populares ,MG ,Habilitado ,17
CELIVIO HOLZ (CELIVIO HOLZ ) ,Culturas Populares ,SC ,Habilitado ,7
CICERO DE FARIAS FRANCA (Cicero de Farias Franca) ,Culturas Populares ,AC ,Eleito ,87
CLAIR HAHN FERMIANO (Clair hahn fermiano) ,Culturas Populares ,SC ,Eleito ,78
CLODOALDO SILVA DE SOUZA (CLODOALDO SILVA DE SOUZA) ,Culturas Populares ,PA ,Habilitado ,48
CRISTIANO MARTINS DE SOUZA (cristiano m de souza ) ,Culturas Populares ,GO ,Habilitado ,9
DENISE ELVIRA DE OLIVEIRA (Denise Elvira de Oliveira) ,Culturas Populares ,MG ,Habilitado ,13
DINA MARIA MARTINS LIMA (Dina Maria Martins Lima) ,Culturas Populares ,CE ,Eleito ,40
EDGAR MAROSTICA (Edgar Maróstica) ,Culturas Populares ,RS ,Habilitado ,83
EDUARDO JOSE BARBOSA (Bob Controversiata) ,Culturas Populares ,SP ,Habilitado ,50
EDUARDO MANOEL DA SILVA (eduardo manoel da silva ) ,Culturas Populares ,PE ,Eleito ,828
ELIAS PONTES DE CERQUEIRA (Akinyàlé Elias) ,Culturas Populares ,SP ,Habilitado ,3
ELVIS DOS SANTOS PEREIRA (ELVIS DOS SANTOS PEREIRA) ,Culturas Populares ,AL ,Habilitado ,88
ENEIDA PAES E LIMA (Eneida Paes e Lima) ,Culturas Populares ,SP ,Habilitado ,1
ERLIER JODSON SILVA SANTOS (erlier jodson silva santos) ,Culturas Populares ,AP ,Eleito ,134
FABIANA MENINI TRINDADE (fabiana menini) ,Culturas Populares ,RS ,Eleito ,100
FERNANDO CESAR DE OLIVEIRA (FERNANDO CESAR DE OLIVEIRA) ,Culturas Populares ,PR ,Habilitado ,0
FRANCILEY PAULO DE OLIVEIRA PEREIRA (Franciley Paulo de Oliveira Pereira) ,Culturas Populares ,AM ,Habilitado ,1
FRANCISCO ARTUR PINHEIRO ALVES (FRANCISCO ARTUR PINHEIRO ALVES) ,Culturas Populares ,CE ,Habilitado ,23
FRANCISCO GOMIDES FRANCA (Francisco Gomide França) ,Culturas Populares ,MG ,Habilitado ,9
GILVAN GOMES DA SILVA (Gilvan Gomes da Silva) ,Culturas Populares ,PE ,Habilitado ,22
GISLAINE TEIXEIRA CAMPOS (Lanna Campos) ,Culturas Populares ,RS ,Habilitado ,78
GLAUCIO TEIXEIRA DA CAMARA (Gláucio Teixeira da Câmara) ,Culturas Populares ,RN ,Eleito ,63
GLORIA RODRIGUES SERRA (Glória Rodrigues) ,Culturas Populares ,RR ,Eleito ,33
GUARAPIRANGA FREIRE (Guará Freire) ,Culturas Populares ,DF ,Eleito ,70
HENRIQUE JORGE PONTES SAMPAIO (Henrique Jorge Pontes Sampaio) ,Culturas Populares ,PB ,Habilitado ,10
IRAN LIMA DE SOUSA (Iran Lima de Sousa) ,Culturas Populares ,AP ,Eleito ,354
IZABEL CRISTINA SANTANA DO NASCIMENTO (Izabel Cristina Santana do Nascimento) ,Culturas Populares ,SE ,Habilitado ,93
JACILDO BEZERRA (Jacildo Bezerra) ,Culturas Populares ,RR ,Habilitado ,32
JACKSON CONRADO BESERRA (Jackson Conrado Bezerra) ,Culturas Populares ,RR ,Habilitado ,1
JOANA ALVES DA SILVA (Joana Alves da Silva) ,Culturas Populares ,PB ,Habilitado ,0
JOCELINO DA CONCEICAO SILVA JUNIOR (JOCELINO JÚNIOR) ,Culturas Populares ,ES ,Eleito ,4
JOSE ANTONIO PINHEIRO JUNIOR (José Antonio Pinheiro Junior (Catatau)) ,Culturas Populares ,MA ,Eleito ,89
JOSE CARLOS DANTAS (José Carlos Dantas) ,Culturas Populares ,RN ,Eleito ,8
JOSE DE ARIMATEA DE VASCONCELOS TEIXEIRA (jose de arimatéa de vasconcelos teixeira) ,Culturas Populares ,AL ,Eleito ,43
JOSE DIAS CARDOSO NETO (josé dias cardoso neto) ,Culturas Populares ,DF ,Habilitado ,53
JOSE EDUARDO ARAUJO BORGES (JOSÉ EDUARDO ARAUJO BORGES -ALEMÃO) ,Culturas Populares ,PI ,Habilitado ,2
JOSE LIMA DOS SANTOS (Jose Lima dos Santos - Mestre Zé da Viola) ,Culturas Populares ,RR ,Eleito ,120
JOSE MARCOS PIRES BUENO (José Marcos Pires Bueno) ,Culturas Populares ,SP ,Habilitado ,68
JOSE RODRIGUES ARIMATEIA (Ogan Arimatéia) ,Culturas Populares ,AC ,Habilitado ,13
JOSE RUITER VASCONCELOS CERQUEIRA JUNIOR (Ruiter Durdevic) ,Culturas Populares ,RJ ,Habilitado ,2
JOSE SANTANA PACHECO (José Santana Pacheco) ,Culturas Populares ,RO ,Habilitado ,49
JOSICLEIA DOS SANTOS FERREIRA (Josicléia dos Santos Ferreira) ,Culturas Populares ,AP ,Eleito ,40
JOSIVALDO ARAUJO DE SOUSA (Josivaldo Araujo de Sousa - J.Ivo Brasil) ,Culturas Populares ,SP ,Habilitado ,30
JURANDIR AMADEU GOMES PINTO (Jurandir Bozo ) ,Culturas Populares ,AL ,Eleito ,148
KEILA DE OLIVEIRA SILVA CARNIETTO (Keila - Pê Oliveira) ,Culturas Populares ,SP ,Habilitado ,0
LEANDRO ALVES DE OLIVEIRA (Leandro Alves de Oliveira) ,Culturas Populares ,RJ ,Habilitado ,14
LENILTON DE SOUZA LIMA (lenilton de Souza Lima) ,Culturas Populares ,RN ,Habilitado ,33
LILIAN MAIA RABELLO (Lilian Rabello) ,Culturas Populares ,RJ ,Habilitado ,16
LUCAS ALVES DE VASCONCELOS (LUCAS ALVES DE VASCONCELOS) ,Culturas Populares ,PE ,Habilitado ,3
LUCIANA CARVALHO DE MATTOS (Luciana Carvalho de Mattos (Luciana Dara)) ,Culturas Populares ,SP ,Habilitado ,11
LUCIANO ACCIOLE GOMES (Luciano Acciole Gomes) ,Culturas Populares ,SE ,Eleito ,213
LUIS EUGENIO OLIVEIRA SOUZA (LUIS EUGÊNIO OLIVEIRA SOUZA) ,Culturas Populares ,DF ,Habilitado ,38
LUIZ ANTONIO DE ALBUQUERQUE LINS FILHO (Luizinho Lins) ,Culturas Populares ,PA ,Habilitado ,47
LUIZ GONZAGA MEDEIROS (LUIZ GONZAGA MEDEIROS) ,Culturas Populares ,MG ,Eleito ,125
LYDIA LUCIA NUNES DE SOUSA (Lydia Lucia Nunes de Sousa) ,Culturas Populares ,AM ,Habilitado ,6
MANOEL AGUINALDO FARIAS PINTO (MANOEL AGUINADO FARIAS PINTO) ,Culturas Populares ,PA ,Eleito ,113
MARCELO SIDNEY DOS REIS COSTA (marcelo do sax) ,Culturas Populares ,PA ,Habilitado ,2
MARCIO DOS SANTOS MEIRA (marcio dos santos meira) ,Culturas Populares ,PE ,Habilitado ,5
MARCO ANTONIO SOUZA DE ARAUJO (Marco Antonio Souza de Araújo) ,Culturas Populares ,PA ,Eleito ,77
MARCOS LEONI CORDEIRO DE MORAES (Marcos Leoni Moraes) ,Culturas Populares ,RJ ,Habilitado ,1
MARCOS RONILSON DO NASCIMENTO (MARCOS RONILSON DO NASCIMENTO) ,Culturas Populares ,MA ,Eleito ,85
MARCOS VINICIUS FERREIRA (Marcos Vinicius Ferreira) ,Culturas Populares ,PI ,Eleito ,128
MARIA CRISTINA DOS SANTOS BARROS (Cristina Barros) ,Culturas Populares ,BA ,Habilitado ,106
MARIA DE NAZARE DO O RIBEIRO (MARIA DE NAZARÉ DO Ó RIBEIRO) ,Culturas Populares ,PA ,Habilitado ,23
MARIA DOS PRAZERES F BARROS (Maria dos Prazeres Firmino de Barros) ,Culturas Populares ,PE ,Habilitado ,66
MARIA JANE SOARES TARGINO CAVALCANTI (Maria Jane Soares Targino Cavalcante) ,Culturas Populares ,PB ,Eleito ,74
MARIA JOSE FERREIRA DA SILVA (MARIA JOSÉ FERREIRA DA SILVA (Zeza do Coco)) ,Culturas Populares ,AL ,Habilitado ,1
MARIAH AGATHA JEREMIAS DE SOUZA LIMA (Mariah Agatha Jeremias de Souza Lima) ,Culturas Populares ,SP ,Habilitado ,5
MAURO ANDRE VIANA PINTO (Mauro André Viana Pinto) ,Culturas Populares ,MA ,Habilitado ,6
NAZARENO GOMES DA SILVA (Nazareno Gomes da Silva) ,Culturas Populares ,PA ,Habilitado ,11
NEIVA MARIA ORTEGA MARQUES (Neiva Maria Ortega Marques) ,Culturas Populares ,SC ,Habilitado ,9
NELSON BRUM MOTTA (Nelson Brum Motta) ,Culturas Populares ,SC ,Habilitado ,127
OILSON ANTONIO ALVES (Will Capa Preta) ,Culturas Populares ,PR ,Habilitado ,7
OZIEL DOS SANTOS REIS (oziel dos santos reis) ,Culturas Populares ,GO ,Habilitado ,7
PAULO CESAR CAVALCANTE DOS SANTOS (Paulo Cesar Cavalcante dos Santos) ,Culturas Populares ,DF ,Eleito ,53
PAULO HENRIQUE SOARES DE ALMEIDA (PAULO HENRIQUE SOARES DE ALMEIDA) ,Culturas Populares ,DF ,Habilitado ,8
PAULO LUIS SILVA CORREA (PAULO CORRÊA) ,Culturas Populares ,RS ,Eleito ,114
PAULO MARQUES FERREIRA (PAULO MARQUES FERREIRA) ,Culturas Populares ,PE ,Habilitado ,23
PIERRE CESAR BENEDITO (Pierre Cesar) ,Culturas Populares ,SP ,Eleito ,75
RAIMUNDO DA SILVA MATOS (Raimundo da Silva Matos) ,Culturas Populares ,BA ,Inabilitado ,0
RENAN BARBOSA SILVA (Renan Barbosa Silva) ,Culturas Populares ,BA ,Habilitado ,2
RENATA OURO GONCALVES DA COSTA (RENATA OURO GONÇALVES DA COSTA ) ,Culturas Populares ,SE ,Habilitado ,22
RENATO FERNANDO MARQUES (RENATO FERNANDO MARQUES ) ,Culturas Populares ,RJ ,Habilitado ,71
RITA DE CASSIA COSTA BACELAR PINHEIRO (Rita Pinheiro ( Garimpeira da Cultura )) ,Culturas Populares ,BA ,Habilitado ,22
ROBSON DA COSTA DIAS (Robson da Costa Dias - Mestre Tio Robson) ,Culturas Populares ,RJ ,Eleito ,278
ROGERIO DIAS (Rogerio Dias) ,Culturas Populares ,AL ,Habilitado ,8
ROMARIO MONTEIRO FEITOSA (Romário Monteiro Feitosa) ,Culturas Populares ,AC ,Habilitado ,5
ROMILDA NETO PIZANI (Romilda) ,Culturas Populares ,MS ,Eleito ,16
ROSANA ALVES SOARES DE SOUZA (ROSANA SOARES OU ROSANA ALVES SOARES DE SOUZA) ,Culturas Populares ,PE ,Habilitado ,137
SAULO TOSCANO DE SOUZA (Saulo Toscano de Souza) ,Culturas Populares ,RO ,Habilitado ,4
SEBASTIAO ALBERTO VIEIRA DE MOURA (Sebastião Alberto Vieira de Moura - Sabá Moura) ,Culturas Populares ,RR ,Eleito ,204
SERGIO LUIZ BARRETO CAMPELLO CARDOSO AYRES (Sérgio Luiz Barreto Campello Cardoso Ayres) ,Culturas Populares ,MG ,Habilitado ,13
SEVERINO ANTONIO DA SILVA (SEVERINO ANTONIO DA SILVA (bibiu)) ,Culturas Populares ,PB ,Habilitado ,4
SEVERO DE SOUSA BARROS (Mestre Severo) ,Culturas Populares ,PI ,Habilitado ,39
SILVIO MACEDO DOS SANTOS (Silvio Macedo dos Santos) ,Culturas Populares ,RO ,Eleito ,59
SUSANA RODRIGUES LEITE JUNG (Susana Jung) ,Culturas Populares ,RS ,Habilitado ,34
SUZANA AVILA DA SILVA (Ekede Suzana) ,Culturas Populares ,SP ,Habilitado ,22
THEREZA CRISTINA MARTINS DANTAS (Thereza Cristina Matins Dantas) ,Culturas Populares ,RJ ,Habilitado ,26
TIAGO VITORIO MAIA (Tiago Maia) ,Culturas Populares ,ES ,Habilitado ,0
VALDIR RODRIGUES MIRANDA DA SILVA (Mestre Ninja ) ,Culturas Populares ,BA ,Habilitado ,94
VEGUINALDO RODRIGUES FILHO (DINHO RODRIGUES) ,Culturas Populares ,SP ,Habilitado ,26
VIRGILIO DE ALENCAR SANTANA (Virgilio de Alencar Santana) ,Culturas Populares ,GO ,Habilitado ,14
WILLEMBERG JUNIOR FRANCELINO DA SILVA (WILLEMBERG JUNIOR FRANCELINO DA SILVA) ,Culturas Populares ,PE ,Habilitado ,88
WILLIAM MORAES CORREA (WILLIAM MORAES CORRÊA) ,Culturas Populares ,MA ,Habilitado ,32
WILSON TAVARES DE SOUZA JUNIOR (WILSON TAVARES DE SOUZA JUNIOR) ,Culturas Populares ,AM ,Habilitado ,93
WLADIMIR SILVA FURTADO (WLADIMIR SILVA FURTADO) ,Culturas Populares ,AP ,Habilitado ,298
ADRIANE DE SOUZA SILVEIRA (Adriane Silveira) ,Dança ,RS ,Habilitado ,48
AGUINALDO COSTA DOS SANTOS (Aguinaldo Costa dos Santos ) ,Dança ,AP ,Habilitado ,32
ALDO GONCALVES CARDOSO JUNIOR (ALDO GONÇALVES) ,Dança ,RS ,Habilitado ,14
ALEXANDRE BATISTA REIS (Alexandre Reis) ,Dança ,BA ,Habilitado ,1
ALEXANDRE JOSE MOLINA (Alexandre Molina) ,Dança ,MG ,Eleito ,162
ALEXANDRO LEITE SANTIAGO (Alexandro Leite Santiago) ,Dança ,CE ,Eleito ,71
ANA CLEIA NERI ALVES (Cléia Alves) ,Dança ,AM ,Habilitado ,67
ANA PATRICIA VASCONCELLOS SHARP (Ana Sharp) ,Dança ,SP ,Habilitado ,27
ANA ROSANGELA COLARES LAVAND (Ana Rosangela Colares Lavand) ,Dança ,PA ,Eleito ,38
ANDREA DOS SANTOS MELO (Andréa dos Santos Melo) ,Dança ,RO ,Eleito ,90
ANDREA RECH BAPTISTA (Andrea Baptista) ,Dança ,SC ,Eleito ,25
ANDRESSA LAYSA QUEIROZ RIBEIRO (ANDRESSA LAYSA QUEIROZ RIBEIRO) ,Dança ,PE ,Eleito ,27
ANGELA SOUZA DE ARAUJO (Angela Souza de Araújo) ,Dança ,CE ,Habilitado ,12
ANTONIO GILBERTO SOUZA PAIVA (Antonio Gilberto) ,Dança ,AP ,Eleito ,61
ANTONIO JUNIOR DE SOUSA UCHOA (Antonio Junior de Sousa Uchoa) ,Dança ,AC ,Eleito ,33
ARIANE TRINDADE DE ALMEIDA (Ariane Trindade de Almeida Passos) ,Dança ,SE ,Habilitado ,2
CARLOS ALBERTO VIEIRA SOARES (CARLOS KISS) ,Dança ,SP ,Habilitado ,10
CINTIA RAFAELA BRAGHIM BELTRAN TAMIAO (CÍNTIA RAFAELA BRAGHIM BELTRAN TAMIÃO) ,Dança ,SP ,Habilitado ,10
CLAUDIA MARIA SANTOS PENICHE (CLÁUDIA MARIA SANTOS PENICHE) ,Dança ,PA ,Inabilitado ,32
CLEUSON CLAUDIO MARTINS LEAL (Cleuson Claudio Martins Leal) ,Dança ,AP ,Inabilitado ,123
CONCEICAO DE MARIA FORTES TORRES (Conceição de Maria Fortes Torres) ,Dança ,PI ,Habilitado ,2
DELMIRO JOSE CARVALHO FREITAS (Pai Delmiro Freitas) ,Dança ,RR ,Eleito ,112
DENIVAN COSTA DE LIMA (Denis Angola) ,Dança ,AL ,Habilitado ,5
DIANA PINHEIRO FONTES (Diana Pinheiro Fontes) ,Dança ,RN ,Eleito ,150
DIEGO WINCK ESTEVES (Diego Esteves) ,Dança ,RS ,Habilitado ,6
DOUGLAS RAFAEL CAVALCANTE DA SILVA (Douglas Rafael Cavalcante da Silva) ,Dança ,RR ,Habilitado ,101
EDEILSON MATIAS DA SILVA (Edeilson Matias da Silva) ,Dança ,RN ,Eleito ,153
EDIVALDO PINTO VIDEIRA (edivaldo pinto vdeira) ,Dança ,AP ,Eleito ,89
ELAINE PEREIRA GONCALVES (Elaine Pereira Gonçalves) ,Dança ,SC ,Habilitado ,5
ELEONORA FERREIRA LEAL (Eleonora Ferreira Leal) ,Dança ,PA ,Habilitado ,14
ELISANGELA JAWORSKI BORCHARD (Elisangela Jaworski Borchard) ,Dança ,SC ,Habilitado ,11
ELIZABETH QUIRINO BARROS (Elizabeth Quirino Barros) ,Dança ,GO ,Eleito ,85
ELTON DOUGLAS FIALHO BARATA (Elton Fialho) ,Dança ,TO ,Eleito ,4
ERIVELTO VIANA PINTO (Erivelto Viana) ,Dança ,MA ,Eleito ,5
ERMENEGILDA ALVES RIBEIRO (Ermenegilda Alves Ribeiro) ,Dança ,PI ,Inabilitado ,3
FILIPE MARTINIANO COUTO (Flip Couto) ,Dança ,SP ,Habilitado ,78
FRANCISCO ROGERS CAVALCANTI AYRES (FRANCISCO ROGERS CAVALCANTI AYRES) ,Dança ,AL ,Habilitado ,1
HELIJANE DE MENESES ROCHA (Helijane de Meneses Rocha) ,Dança ,PE ,Habilitado ,1
HELOISA HELENA ALVES DUQUE (Heloisa Helena Alves da Silva) ,Dança ,PE ,Habilitado ,6
HILDEGARDA BORGES SAMPAIO (Hildegarda Sampaio) ,Dança ,PI ,Eleito ,231
HUGO SILVA DE OLIVEIRA (Hugo de Oliveira) ,Dança ,RJ ,Eleito ,44
IGOR ORSOLON DO PRADO (Igor Orsolon) ,Dança ,SP ,Habilitado ,34
IMIRA REIS BRITO (Imira Brito) ,Dança ,MA ,Eleito ,45
JACSON DO ESPIRITO SANTO (Jacson do Espírito Santo) ,Dança ,BA ,Eleito ,43
JAILSON CORDEIRO (Jailson Cordeiro) ,Dança ,SC ,Habilitado ,1
JAMILTON DE MELO CAMPOS (JAMILTON DE MELO CAMPOS) ,Dança ,MT ,Eleito ,41
JEFERSON VIEIRA DA SILVA (jeferson vieira) ,Dança ,RO ,Inabilitado ,4
JOAO FERNANDES NETO (JOÃO FERNANDES NETO) ,Dança ,AM ,Eleito ,74
JUCICLEIDE FACANHA DE ALMEIDA (Jucicleide Façanha de Almeida) ,Dança ,AP ,Habilitado ,40
KELSON JOEMIR PANOSSO DOS PASSOS (KELSON JOEMIR PANOSSO DOS PASSOS) ,Dança ,MT ,Habilitado ,17
KLEBER SANTANA SOARES (Kleber santana ) ,Dança ,DF ,Inabilitado ,16
LAIS DA SILVA TAVARES (Laís da Silva Tavares) ,Dança ,AL ,Habilitado ,60
LEANDRO BARROS DANTAS (Leandro Barros Dantas) ,Dança ,AP ,Habilitado ,33
LIVEA CASTRO CALVO (Lívea Castro Calvo) ,Dança ,PR ,Habilitado ,10
LUIZ GUSTAVO DALAZEN FERNANDES (Luiz Gustavo Dalazen Fernandes) ,Dança ,PR ,Habilitado ,3
MARCELA SILVA BRASIL (Marcela Silva Brasil) ,Dança ,RJ ,Habilitado ,34
MARCELLA SOUZA CARVALHO (MARCELLA SOUZA CARVALHO) ,Dança ,PR ,Eleito ,95
MARCIO ANTONIO PEREIRA DA COSTA (MARCIO COSTA) ,Dança ,RR ,Eleito ,251
MARCOS FLAVIO DE MATOS BEZERRA (Marcos Flávio de Matos Bezerra) ,Dança ,MS ,Eleito ,51
MARIA DA CONCEICAO SANTOS COSTA (Maria da Conceição Santos Costa) ,Dança ,BA ,Inabilitado ,10
MARIA JOSE FREITAS DA SILVA (Maria José Freitas da Silva) ,Dança ,AC ,Eleito ,170
MATEUS DOS SANTOS GALUCIO (Boto) ,Dança ,PA ,Inabilitado ,3
MATHEUS DE LUCA FARIA AGUIAR (Matheus de Luca Aguiar) ,Dança ,MT ,Habilitado ,38
MAURICIO MORAES MOTTA (Mauricio Moraes Motta) ,Dança ,RN ,Habilitado ,12
MAURICIO REIS MACIEL (Maurício Reis Maciel) ,Dança ,AP ,Habilitado ,46
NARA CLAUDIA TEIXEIRA BARBOSA (Nara Claudia Teixeira Barbosa) ,Dança ,RO ,Eleito ,78
NATAN ANDRADE MARCACINE (Natan Andrade Marcacine ) ,Dança ,MG ,Eleito ,24
NEILA CRISTINA BALDI (Neila Baldi) ,Dança ,BA ,Habilitado ,2
NEIVA MARIA DE ABREU VOIGT (Neiva Maria de Abreu Voigt) ,Dança ,RJ ,Habilitado ,23
NELSON GONCALVES CAMPOS FILHO (Nelson Triunfo) ,Dança ,SP ,Habilitado ,38
NILCILENE BARROSO MATOS (Mãe Awrá) ,Dança ,AC ,Habilitado ,20
NIRLYN KARINA SEIJAS CASTILLO (Nirlyn Seijas) ,Dança ,BA ,Habilitado ,8
PABLO ALEJANDRO TORRES INSAURRALDE (Pablo torres) ,Dança ,RS ,Habilitado ,14
PATRICIA LIMA VALES (Patricia Lima Vales) ,Dança ,AP ,Eleito ,99
PAULO ANDRE AGUIAR DE SANTANA FILHO (André Aguiar) ,Dança ,PE ,Habilitado ,13
PAULO ROBERTO LIMA DE SOUZA (PAULO LIMA) ,Dança ,CE ,Habilitado ,58
RAPHAELA BARBOZA LIMA DA SILVA (raphaela barboza lima da silva) ,Dança ,SP ,Habilitado ,2
REGINA CLAUDIA MORAIS DE SOUZA (Regina Cláudia Morais de Souza) ,Dança ,AC ,Eleito ,152
REINALDO ALBERTO GONCALVES DO NASCIMENTO (Burú do Guamá) ,Dança ,PA ,Inabilitado ,129
RENATA MATHIAS DE MOURA (Renata Mathias de Moura) ,Dança ,RS ,Habilitado ,50
RENATO PEREIRA DOS SANTOS (Renato Santos) ,Dança ,ES ,Eleito ,4
ROBERTHA SANTOS CARNEIRO (Robertha Carneiro) ,Dança ,SP ,Habilitado ,8
RONIE CHARLES DE LIMA (ronie charles lima) ,Dança ,SE ,Eleito ,64
RONILDO CABRAL DE SOUSA (Ronildo Cabral de Sousa) ,Dança ,PB ,Eleito ,4
